YEAR;WUE;ID;Psummer;Tsummer;BAI
1969;73.40289302;2;41.53333346;23.26666737;808.188956
1970;76.72040508;2;51.53333346;40.26666673;1012.312742
1971;74.18906983;2;83.86666997;54.96666845;984.0751814
1972;68.69454577;2;64.76666896;46.20000172;773.9045496
1973;77.41486034;2;68.4000028;48.63333511;876.4789365
1974;79.30853665;2;52.93333435;37.00000095;1029.440856
1975;81.23460707;2;42.86666791;31.06666835;1055.090888
1976;74.29077808;2;77.73333359;75.63333321;1230.099949
1977;78.97563135;2;115.3333359;69.6666673;1170.979864
1978;74.81883691;2;48.90000089;25.16666698;1339.163946
1979;73.40343841;2;50.10000102;43.30000019;815.6415662
1980;79.47207839;2;50.06666692;37.63333321;810.9127381
1981;75.66882614;2;57.00000127;51.76666768;585.5437673
1982;75.72635977;2;39.43333308;31.83333333;889.4545965
1983;77.34601241;2;114.8000043;104.8666712;1400.859362
1984;83.08801522;2;45.66666762;27.83333397;965.8740769
1985;86.9456879;2;35.73333295;29.26666673;1061.813383
1986;96.55571453;2;22.30000035;18.66666714;732.7175513
1987;91.28266282;2;58.00000254;34.50000095;811.5043978
1988;79.89619424;2;73.00000127;42.20000172;1514.201973
1989;84.22013564;2;38.26666705;37.23333359;1365.54853
1990;92.06707211;2;47.36666679;29.46666749;1324.535065
1991;91.75985474;2;18.56666724;16.1000007;1043.2993
1992;84.5909482;2;102.2666696;55.66666667;1193.148799
1993;78.57373525;2;75.23333486;57.13333352;1336.137755
1994;88.29520512;2;38.56666819;31.30000114;1281.045376
1995;89.72152198;2;41.30000178;30.26666768;246.3559717
1996;77.8189947;2;63.73333613;56.03333537;273.7294554
1997;78.14289619;2;122.9333344;97.26666737;196.8215636
1998;72.18079297;2;43.43333371;33.63333416;566.5223654
1999;72.33914533;2;56.46666781;51.70000108;613.2445931
2000;80.33577045;2;41.76666768;38.90000089;646.0241958
2001;81.16122267;2;53.13333448;52.53333473;543.2512661
2002;78.14730586;2;66.46666718;51.6000007;614.139604
2003;86.36026757;2;50.9666659;43.53333282;672.6132788
2004;75.807452;2;44.8333346;41.06666756;306.3308988
2005;88.24768886;2;20.1000007;19.53333378;517.672648
2006;81.47102147;2;54.06666819;39.96666781;746.0515746
2007;78.83895726;2;56.00000127;40.43333435;925.6290187
2008;81.62272857;2;39.40000089;24.26666737;872.2975025
2009;81.95179743;2;34.10000038;29.10000038;871.244583
2010;79.7570375;2;46.93333435;20;419.5529861
2011;77.40782039;2;49.36666743;42.43333435;903.0021139
2012;87.02214519;2;28.13333384;19.79999987;1029.176553
2013;86.19031571;2;43.93333435;24.46666718;663.0382355
2014;82.32723821;2;40.96666654;32.79999987;843.7267933
2015;91.21252169;2;56.06666692;39.66666603;1090.396542
2016;92.47569594;2;29.30000051;22.86666743;744.2036336
2017;92.24352102;2;53.20000076;38.63333384;134.6529464
2018;94.66677748;2;67.73333359;41.33333333;NA
2019;NA;2;50.53333537;41.90000153;NA
2020;NA;2;58.96666908;43.23333518;NA
1900;71.28231298;6;NA;NA;311.0162426
1901;60.86437966;6;60.40000153;46.03333441;508.3768976
1902;62.10892917;6;62.36666743;42.63333416;562.9798164
1903;61.85783898;6;52.56666819;30.63333352;576.8163256
1904;63.3446163;6;41.0333341;20.83333429;552.1363862
1905;58.35048259;6;58.43333562;41.5333341;521.7685515
1906;70.61970932;6;29.30000043;14.93333395;394.249957
1907;68.74988743;6;34.9333334;34.5666666;343.9843484
1908;63.10252367;6;69.4000028;31.20000076;592.5507048
1909;59.48468408;6;46.53333473;25.4333334;648.9456772
1910;57.47473036;6;46.40000089;24.66666698;611.6957993
1911;60.99007929;6;68.50000254;33.33333429;689.5867801
